reputation,Id,displayname,location
184,2574870,Phil D.,"Melbourne, Australia"
905,2575064,Campey,"Melbourne, Australia"
821,2575902,tesseract,"Melbourne, Australia"
2994,131,Marcel,"Melbourne, Australia"
7085,202,Christian Hagelid,"Melbourne, Australia"
9057,489,David Wengier,"Melbourne, Australia"
20210,3715,Tom,"Melbourne, Australia"
2677,3825,ShoeLace,"Melbourne, Victoria, Australia"
1454,3847,jklp,"Melbourne, Australia"
5798,3966,chickeninabiscuit,"Melbourne, Victoria Australia"
323,4026,Mark Harris,"Melbourne, Australia"
4996,4193,TimB,"Melbourne, Australia"
1174,4341,Lou,"Melbourne, Australia"
3116,4368,jpoh,"Melbourne, Australia"
5203,4504,Jonathan Parker,"Melbourne, Australia"
1,8425387,Harita Bala,"Melbourne VIC, Australia"
1,8425554,Syed Muhammad Dawer,"Melbourne, Victoria, Australia"
1,6492733,Sophie,"Melbourne VIC, Australia"
6,2581876,schmico,melbourne
419,2581959,Andrew,"Melbourne, Victoria, Australia"
1,8429045,Sai Ratnakar,"Melbourne Victoria, Australia"
1,8429203,Jchen,"Melbourne, Victoria, Australia"
1,8431518,Varsha,"Melbourne, Victoria, Australia"
89,6497131,Alba Hoo,"Melbourne, Victoria, Australia"
9746,14451,Bennor McCarthy,"Melbourne, Australia"
862,14495,Sean,"Melbourne, Australia"
799,14530,Dan Harper,"Melbourne, Australia"
9,14822,Aaron Cooper,"Melbourne, Australia"
5838,14952,Robert Brown,"Melbourne, Australia"
948,14977,Redbeard,"Melbourne, Australia"
7015,15004,Shabbyrobe,"Melbourne, Australia"
5671,15069,Hugh Allen,"Melbourne, Australia"
97460,15245,Ryan Bigg,"Melbourne, Australia"
756,15515,Jeremy,"Melbourne, Australia"
88957,15537,Matthew Scharley,"Melbourne, Victoria, Australia"
1,10319648,prakash ranabhat,"Melbourne VIC, Australia"
1,10320147,speags,"Melbourne VIC, Australia"
5592,19422,pjf,"Melbourne, Australia"
47,19489,spry,"Melbourne, Australia"
181,19843,robc,"Melbourne, Australia"
56,20168,Sia,"Melbourne, Australia"
136,20169,rickripe,"Melbourne, Australia"
689,20208,dennisV,"Melbourne, Australia"
7729,20480,orj,"Melbourne, Victoria Australia"
31,2589595,AmrithS,"Melbourne, Victoria, Australia"
119,29007,Nick,"Melbourne, Australia"
1,8439042,Matthew Manuel,"Melbourne, Australia"
445,4679946,Dog Lover,"Melbourne, Australia"
10108,37494,Perpetualcoder,"Melbourne VIC, Australia"
198,37935,scetoaux,"Melbourne VIC, Australia"
9954,37984,saffsd,"Melbourne, Australia"
32381,38126,Chris Fulstow,"Melbourne, Australia"
21,38136,teki,"Melbourne, Australia"
1499,38820,Wes,"Melbourne, Victoria, Australia"
11,6507278,Lakshminarayanan,"Melbourne, Victoria, Australia"
826,2597716,Mathew Paxinos,"Melbourne, Victoria, Australia"
31,2597737,Glenn Nicoll,"Melbourne, Victoria, Australia"
35213,43452,Stobor,"Melbourne, Australia"
86,43910,Scott,"Melbourne, Australia"
3877,45583,Fowl,"Melbourne, Australia"
1725,45669,scaganoff,"Melbourne, Australia"
958,51882,nedlud,"Melbourne, Australia"
8464,51927,Hemanshu Bhojak,"Melbourne, Victoria, Australia"
84,51972,Shannon,"Melbourne, Australia"
1062,52347,Allethrin,"Melbourne, Australia"
17182,52745,Jin Yong,"Melbourne, Australia"
1504,53582,dmondark,"Melbourne, Australia"
3433,54056,pfctdayelise,"Melbourne, Australia"
72,54092,Random,"Melbourne, Australia"
1,8448108,Ivan,"Melbourne, Victoria, Australia"
377,8448397,Tacodude7729,"Melbourne, Victoria, Australia"
8,8448485,RelativelyMediocre,"Melbourne, Victoria, Australia"
13,6512031,noccer,"Melbourne, Victoria, Australia"
420,6512376,Davebra,"Melbourne, Victoria, Australia"
56,10334746,Nathan Goss,"Melbourne VIC, Australia"
20,4692032,HappyDeveloper,"Melbourne, Australia"
1,4692059,Mark Farrall,"Melbourne, Australia"
4012,63378,Dave,"Melbourne, Australia"
5892,64833,Manglu,"Melbourne VIC, Australia"
1,4692910,Ptolemaios,"Melbourne Victoria, Australia"
1,6516335,SDs,"Melbourne, Victoria, Australia"
1762,75276,tarn,"Melbourne, Australia"
1,10312273,David Adams,"Melbourne VIC, Australia"
1,10312275,Mishka,"Melbourne VIC, Australia"
1,10312529,Sisi Liu,Melbourne 維多利亞省澳大利亚
1,10312646,Quentin,Melbourne 維多利亞省澳大利亚
126,2927,Josh,"Melbourne, Australia"
1678,3397,Peter Evjan,"Melbourne, Victoria, Australia"
23,3555,Dale,"Melbourne, Australia"
1,8426108,AllianceHardware,"Melbourne, Victoria, Australia"
1,8426130,C_Adistambha,"Melbourne, Victoria, Australia"
3311,4712,Marius,"Melbourne-, Australia"
443,5164,BirgerH,"Melbourne, Australia"
1104,5165,Reilly Beacom,"Melbourne, Australia"
1118,5286,Jeff Bonnes,"Melbourne, Australia"
28,5398,GeoffBurns,"Melbourne, Australia"
1,8426659,Janos,"Melbourne, Victoria, Australia"
